Gene,Transcript
EXTL2,NM_001033025.3
EXTL3,NM_001440.4
EYA1,NM_000503.6
EYA2,NM_005244.5
EYA4,NM_004100.5
EYS,NM_001142800.2
EZH1,NM_001991.5
EZH2,NM_004456.5
EZHIP,NM_203407.3
EZR,NM_001111077.2
F10,NM_000504.4
F11,NM_000128.4
F12,NM_000505.4
F13A1,NM_000129.4
F13B,NM_001994.3
F2,NM_000506.5
F2R,NM_001992.5
F2RL3,NM_003950.4
F3,NM_001993.5
F5,NM_000130.5
F7,NM_019616.4
F8,NM_000132.4
F8A1,NM_012151.4
F9,NM_000133.4
FA2H,NM_024306.5
FAAH,NM_001441.3
FAAH2,NM_174912.4
FAAP100,NM_025161.6
FAAP24,NM_152266.5
FABP1,NM_001443.3
FABP12,NM_001105281.6
FABP2,NM_000134.4
FABP3,NM_004102.5
FABP5,NM_001444.3
FABP6,NM_001445.3
FABP9,NM_001080526.2
FADD,NM_003824.4
FADS1,NM_013402.7
FADS2,NM_004265.4
FADS6,NM_178128.6
FAH,NM_000137.4
FAHD2B,NM_001320848.2
FAIM2,NM_012306.4
FAM107B,NM_031453.4
FAM110A,NM_001042353.3
FAM110D,NM_024869.3
FAM111A,NM_001312909.2
FAM111B,NM_198947.4
FAM114A1,NM_138389.4
FAM114A2,NM_018691.4
FAM117A,NM_030802.4
FAM117B,NM_173511.4
FAM118B,NM_024556.4
FAM120A,NM_014612.5
FAM120AOS,NM_198841.4
FAM120B,NM_032448.3
FAM124A,NM_001242312.2
FAM124B,NM_001122779.2
FAM131A,NM_144635.5
FAM131C,NM_182623.3
FAM133A,NM_001171109.2
FAM135A,NM_001162529.3
FAM135B,NM_015912.4
FAM136A,NM_001329752.2
FAM13A,NM_014883.4
FAM13C,NM_198215.4
FAM149A,NM_001395294.1
FAM149B1,NM_173348.2
FAM151A,NM_176782.3
FAM151B,NM_205548.3
FAM161A,NM_001201543.2
FAM161B,NM_152445.3
FAM162A,NM_014367.4
FAM162B,NM_001085480.3
FAM163A,NM_173509.3
FAM167A,NM_053279.3
FAM170A,NM_001367956.1
FAM170B,NM_001164484.2
FAM171B,NM_177454.4
FAM174B,NM_207446.3
FAM178B,NM_001122646.3
FAM180A,NM_205855.4
FAM180B,NM_001164379.3
FAM181A,NM_001207073.2
FAM181B,NM_175885.4
FAM184A,NM_024581.6
FAM184B,NM_015688.2
FAM185A,NM_001145268.2
FAM186A,NM_001145475.3
FAM186B,NM_032130.3
FAM187B,NM_152481.2
FAM193A,NM_001366318.2
FAM193B,NM_001190946.3
FAM199X,NM_207318.4
FAM200A,NM_145111.4
FAM209A,NM_001012971.4
FAM209B,NM_001013646.4
FAM20A,NM_017565.4
FAM20C,NM_020223.4
FAM210A,NM_152352.4
FAM210B,NM_080821.3
FAM216A,NM_013300.3
FAM216B,NM_001318932.2
FAM217A,NM_173563.3
FAM217B,NM_022106.3
FAM219B,NM_020447.5
FAM220A,NM_001037163.2
FAM221B,NM_001012446.4
FAM222A,NM_032829.3
FAM222B,NM_001077498.3
FAM227A,NM_001013647.2
FAM227B,NM_152647.3
FAM228A,NM_001040710.3
FAM229B,NM_001033564.3
FAM234A,NM_032039.4
FAM234B,NM_020853.2
FAM24B,NM_152644.3
FAM25A,NM_001146157.3
FAM3A,NM_021806.4
FAM3D,NM_138805.3
FAM43A,NM_153690.5
FAM47A,NM_203408.4
FAM47B,NM_152631.3
FAM47C,NM_001013736.3
FAM47E,NM_001136570.3
FAM50A,NM_004699.4
FAM53A,NM_001174070.3
FAM53B,NM_014661.4
FAM76B,NM_144664.5
FAM81A,NM_152450.3
FAM81B,NM_152548.3
FAM83A,NM_001394396.1
FAM83B,NM_001010872.3
FAM83C,NM_178468.6
FAM83E,NM_017708.4
FAM83F,NM_138435.4
FAM83G,NM_001039999.3
FAM83H,NM_198488.5
FAM86B1,NM_001083537.4
FAM86B2,NM_001137610.3
FAM90A1,NM_018088.3
FAM90A26,NM_001358418.3
FAM91A1,NM_144963.4
FAM98C,NM_174905.4
FAM9A,NM_174951.3
FAM9B,NM_205849.3
FAN1,NM_014967.5
FANCA,NM_000135.4
FANCB,NM_001018113.3
FANCC,NM_000136.3
FANCD2,NM_001018115.3
FANCE,NM_021922.3
FANCF,NM_022725.4
FANCG,NM_004629.2
FANCI,NM_001113378.2
FANCL,NM_018062.4
FANCM,NM_020937.4
FANK1,NM_145235.5
FAP,NM_004460.5
FAR1,NM_032228.6
FARP1,NM_005766.4
FARP2,NM_014808.4
FARS2,NM_006567.5
FARSA,NM_004461.3
FARSB,NM_005687.5
FAS,NM_000043.6
FASLG,NM_000639.3
FASN,NM_004104.5
FASTK,NM_006712.5
FASTKD1,NM_024622.6
FASTKD2,NM_001136193.2
FASTKD3,NM_024091.4
FASTKD5,NM_021826.5
FAT1,NM_005245.4
FAT2,NM_001447.3
FAT3,NM_001367949.2
FAT4,NM_001291303.3
FATE1,NM_033085.3
FAXC,NM_032511.4
FAXDC2,NM_032385.5
FBF1,NM_001319193.2
FBH1,NM_178150.3
FBLIM1,NM_017556.4
FBLN1,NM_006486.3
FBLN2,NM_001004019.2
FBLN5,NM_006329.4
FBLN7,NM_153214.3
FBN1,NM_000138.5
FBN2,NM_001999.4
FBN3,NM_032447.5
FBP1,NM_000507.4
FBP2,NM_003837.4
FBRSL1,NM_001367871.1
FBXL12,NM_017703.3
FBXL13,NM_001394494.2
FBXL16,NM_153350.4
FBXL17,NM_001163315.3
FBXL18,NM_024963.6
FBXL19,NM_001382779.1
FBXL22,NM_203373.3
FBXL3,NM_012158.4
FBXL4,NM_001278716.2
FBXL6,NM_012162.4
FBXL7,NM_012304.5
FBXL8,NM_018378.3
FBXO10,NM_012166.3
FBXO11,NM_001190274.2
FBXO15,NM_001142958.2
FBXO16,NM_172366.4
FBXO17,NM_024907.7
FBXO2,NM_012168.6
FBXO22,NM_147188.3
FBXO24,NM_033506.3
FBXO28,NM_015176.4
FBXO3,NM_012175.4
FBXO31,NM_024735.5
FBXO32,NM_058229.4
FBXO33,NM_203301.4
FBXO34,NM_017943.4
FBXO36,NM_174899.5
FBXO38,NM_205836.3
FBXO39,NM_153230.3
FBXO4,NM_012176.3
FBXO40,NM_016298.4
FBXO41,NM_001371389.2
FBXO43,NM_001029860.4
FBXO46,NM_001080469.2
FBXO47,NM_001008777.3
FBXO48,NM_001024680.3
FBXO5,NM_012177.5
FBXO6,NM_018438.6
FBXO7,NM_012179.4
FBXO8,NM_012180.3
FBXW10,NM_001267585.2
FBXW10B,NM_006382.4
FBXW11,NM_001378974.1
FBXW12,NM_207102.2
FBXW4,NM_022039.4
FBXW5,NM_018998.4
FBXW7,NM_001349798.2
FBXW8,NM_153348.3
FCAMR,NM_001170631.2
FCER1A,NM_001387280.1
FCER2,NM_001220500.2
FCGBP,NM_003890.3
FCGR1A,NM_000566.4
FCGR2A,NM_001136219.3
FCGR2B,NM_001394477.1
FCGR2C,NM_201563.5
FCGR3A,NM_000569.8
FCGR3B,NM_001244753.2
FCGRT,NM_001136019.3
FCHO1,NM_015122.3
FCHSD1,NM_033449.3
FCHSD2,NM_014824.3
FCMR,NM_005449.5
FCN2,NM_004108.3
FCN3,NM_003665.4
FCRL1,NM_052938.5
FCRL2,NM_030764.4
FCRL3,NM_052939.4
FCRL4,NM_031282.3
FCRL5,NM_031281.3
FCRL6,NM_001004310.3
FCRLA,NM_032738.4
FCRLB,NM_001002901.4
FCSK,NM_145059.3
FDCSP,NM_152997.4
FDFT1,NM_004462.5
FDPS,NM_002004.4
FDX1,NM_004109.5
FDX2,NM_001397406.1
FDXACB1,NM_138378.3
FDXR,NM_024417.5
FECH,NM_000140.5
FER,NM_005246.4
FER1L5,NM_001293083.2
FER1L6,NM_001039112.2
FERD3L,NM_152898.2
FERMT1,NM_017671.5
FERMT3,NM_031471.6
FERRY3,NM_020374.4
FES,NM_002005.4
FETUB,NM_014375.3
FEZ1,NM_005103.5
FEZF1,NM_001024613.4
FFAR2,NM_001370087.1
FFAR3,NM_005304.5
FFAR4,NM_001195755.2
FGA,NM_021871.4
FGB,NM_005141.5
FGD1,NM_004463.3
FGD2,NM_173558.4
FGD3,NM_001083536.2
FGD4,NM_001370298.3
FGD5,NM_152536.4
FGD6,NM_018351.4
FGF1,NM_000800.5
FGF10,NM_004465.2
FGF12,NM_004113.6
FGF13,NM_004114.5
FGF14,NM_004115.4
FGF16,NM_003868.3
FGF17,NM_003867.4
FGF19,NM_005117.3
FGF2,NM_001361665.2
FGF20,NM_019851.3
FGF22,NM_020637.2
FGF23,NM_020638.3
FGF3,NM_005247.4
FGF4,NM_002007.4
FGF5,NM_004464.4
FGF6,NM_020996.3
FGF8,NM_033163.5
FGF9,NM_002010.3
FGFBP1,NM_005130.5
FGFBP2,NM_031950.4
FGFR1,NM_023110.3
FGFR1OP2,NM_015633.3
FGFR2,NM_000141.5
FGFR3,NM_000142.5
FGFR4,NM_213647.3
FGFRL1,NM_001004356.3
FGG,NM_021870.3
FGGY,NM_018291.5
FGL1,NM_004467.4
FGL2,NM_006682.3
FGR,NM_005248.3
FH,NM_000143.4
FHAD1,NM_001391957.1
FHDC1,NM_001371116.1
FHIP1A,NM_001109977.3
FHIP1B,NM_001098794.2
FHIP2A,NM_020940.4
FHIP2B,NM_022749.7
FHIT,NM_002012.4
FHL1,NM_001159699.2
FHL2,NM_001318895.3
FHL3,NM_004468.5
FHOD1,NM_013241.3
FHOD3,NM_001281740.3
FIBCD1,NM_032843.5
FIBIN,NM_203371.2
FIBP,NM_004214.5
FICD,NM_007076.3
FIG4,NM_014845.6
FIGLA,NM_001004311.3
FIGNL1,NM_001287492.4
FILIP1,NM_015687.5
FILIP1L,NM_001387850.1
FIRRM,NM_001320047.2
FITM1,NM_203402.3
FITM2,NM_001080472.4
FKBP10,NM_021939.4
FKBP14,NM_017946.4
FKBP15,NM_015258.2
FKBP3,NM_002013.4
FKBP4,NM_002014.4
FKBP5,NM_004117.4
FKBP6,NM_003602.5
FKBPL,NM_022110.4
FKRP,NM_024301.5
FKTN,NM_001079802.2
FLACC1,NM_001127391.3
FLAD1,NM_025207.5
FLCN,NM_144997.7
FLG,NM_002016.2
FLG2,NM_001014342.3
FLI1,NM_002017.5
FLII,NM_002018.4
FLNA,NM_001110556.2
FLNB,NM_001457.4
FLNC,NM_001458.5
FLOT2,NM_004475.3
FLRT1,NM_013280.5
FLRT2,NM_013231.6
FLRT3,NM_198391.3
FLT1,NM_002019.4
FLT3,NM_004119.3
FLT3LG,NM_001459.4
FLT4,NM_182925.5
FLVCR1,NM_014053.4
FLVCR2,NM_017791.3
FLYWCH1,NM_001308068.2
FLYWCH2,NM_138439.3
FMC1,NM_197964.5
FMN1,NM_001277313.2
FMN2,NM_020066.5
FMNL1,NM_005892.4
FMNL2,NM_052905.4
FMNL3,NM_175736.5
FMO1,NM_001282693.2
FMO2,NM_001460.5
FMO3,NM_001002294.3
FMO4,NM_002022.3
FMO5,NM_001461.4
FMOD,NM_002023.5
FMR1,NM_002024.6
FMR1NB,NM_152578.3
FN1,NM_212482.4
FN3KRP,NM_024619.4
FNBP1,NM_015033.3
FNBP1L,NM_001164473.3
FNBP4,NM_015308.5
FNDC1,NM_032532.3
FNDC3A,NM_001079673.2
FNDC3B,NM_022763.4
FNDC7,NM_001144937.3
FNDC8,NM_017559.4
FNDC9,NM_001001343.4
FNIP1,NM_133372.3
FNIP2,NM_020840.3
FNTA,NM_002027.3
FOCAD,NM_001375567.1
FOLH1,NM_004476.3
FOLR1,NM_016729.3
FOLR2,NM_000803.5
FOLR3,NM_000804.4
FOS,NM_005252.4
FOSB,NM_006732.3
FOSL1,NM_005438.5
FOXA1,NM_004496.5
FOXA2,NM_021784.5
FOXA3,NM_004497.3
FOXC1,NM_001453.3
FOXC2,NM_005251.3
FOXD1,NM_004472.3
FOXD2,NM_004474.4
FOXD3,NM_012183.3
FOXD4,NM_207305.5
FOXD4L1,NM_012184.5
FOXD4L3,NM_199135.4
FOXD4L5,NM_001126334.1
FOXD4L6,NM_001085476.4
FOXE1,NM_004473.4
FOXE3,NM_012186.3
FOXF1,NM_001451.3
FOXF2,NM_001452.2
FOXG1,NM_005249.5
FOXH1,NM_003923.3
FOXI1,NM_012188.5
FOXI3,NM_001135649.3
FOXJ1,NM_001454.4
FOXJ2,NM_018416.3
FOXK1,NM_001037165.2
FOXK2,NM_004514.4
FOXL1,NM_005250.3
FOXL2,NM_023067.4
FOXM1,NM_021953.4
FOXN1,NM_001369369.1
FOXN2,NM_002158.4
FOXO1,NM_002015.4
FOXO3,NM_001455.4
FOXP1,NM_001349338.3
FOXP2,NM_014491.4
FOXP3,NM_014009.4
FOXP4,NM_001012426.2
FOXQ1,NM_033260.4
FOXR1,NM_181721.3
FOXR2,NM_198451.4
FOXRED1,NM_017547.4
FOXRED2,NM_001102371.2
FOXS1,NM_004118.4
FPGS,NM_004957.6
FPGT,NM_003838.5
FPR1,NM_002029.4
FPR2,NM_001005738.2
FPR3,NM_002030.5
FRA10AC1,NM_145246.5
FRAS1,NM_025074.7
FRAT2,NM_012083.3
FREM1,NM_001379081.2
FREM2,NM_207361.6
FREM3,NM_001168235.2
FREY1,NM_001080446.3
FRG1,NM_004477.3
FRG2,NM_001286820.2
FRG2B,NM_001080998.2
FRG2C,NM_001124759.5
FRMD1,NM_024919.6
FRMD4A,NM_018027.5
FRMD4B,NM_015123.3
FRMD5,NM_032892.5
FRMD7,NM_194277.3
FRMD8,NM_031904.5
FRMPD1,NM_014907.3
FRMPD2,NM_001018071.4
FRMPD3,NM_001388459.1
FRMPD4,NM_001368397.1
FRRS1,NM_001361041.2
FRRS1L,NM_014334.4
FRS3,NM_006653.5
FRY,NM_023037.3
FRYL,NM_015030.2
FRZB,NM_001463.4
FSCB,NM_032135.4
FSCN1,NM_003088.4
FSCN2,NM_012418.4
FSCN3,NM_020369.3
FSD1L,NM_001145313.3
FSD2,NM_001007122.4
FSHB,NM_001382289.1
FSHR,NM_000145.4
FSIP1,NM_152597.5
FSIP2,NM_173651.4
FST,NM_013409.3
FSTL3,NM_005860.3
FSTL4,NM_015082.2
FTCD,NM_206965.2
FTHL17,NM_031894.3
FTL,NM_000146.4
FTO,NM_001080432.3
FTSJ1,NM_012280.4
FTSJ3,NM_017647.4
FUBP3,NM_003934.2
FUCA1,NM_000147.5
FURIN,NM_002569.4
FUS,NM_004960.4
FUT1,NM_001384359.1
FUT11,NM_173540.3
FUT2,NM_000511.6
FUT3,NM_001097639.3
FUT4,NM_002033.4
FUT5,NM_002034.2
FUT6,NM_000150.4
FUT7,NM_004479.4
FUT8,NM_001371533.1
FUZ,NM_025129.5
FXN,NM_000144.5
FXR1,NM_005087.4
FXR2,NM_004860.4
FXYD2,NM_001680.5
FXYD3,NM_005971.4
FXYD5,NM_014164.6
FYB1,NM_001465.6
FYCO1,NM_024513.4
FYN,NM_002037.5
FZD2,NM_001466.4
FZD4,NM_012193.4
FZD5,NM_003468.4
FZD6,NM_003506.4
FZD7,NM_003507.2
FZD8,NM_031866.3
FZR1,NM_016263.4
G0S2,NM_015714.4
G6PC1,NM_000151.4
G6PC2,NM_021176.3
G6PC3,NM_138387.4
G6PD,NM_001360016.2
GAA,NM_000152.5
GAB1,NM_002039.4
GAB2,NM_080491.3
GAB3,NM_001081573.3
GAB4,NM_001037814.1
GABBR1,NM_001470.4
GABBR2,NM_005458.8
GABPB2,NM_144618.3
GABRA1,NM_001127644.2
GABRA2,NM_000807.4
GABRA3,NM_000808.4
GABRA4,NM_000809.4
GABRA5,NM_000810.4
GABRA6,NM_000811.3
GABRB1,NM_000812.4
GABRB2,NM_001371727.1
GABRB3,NM_000814.6
GABRD,NM_000815.5
GABRE,NM_004961.4
GABRG2,NM_198904.4
GABRG3,NM_033223.5
GABRP,NM_014211.3
GABRQ,NM_018558.4
GABRR1,NM_002042.5
GABRR2,NM_002043.5
GABRR3,NM_001105580.3
GAD1,NM_000817.3
GAD2,NM_001134366.2
GADD45G,NM_006705.4
GADD45GIP1,NM_052850.4
GADL1,NM_207359.3
GAGE10,NM_001098413.4
GAGE12C,NM_001098408.3
GAGE12E,NM_001098418.3
GAGE12G,NM_001098409.4
GAGE12H,NM_001098410.3
GAGE13,NM_001098412.4
GAGE2A,NM_001127212.4
GAK,NM_005255.4
GAL,NM_015973.5
GAL3ST1,NM_001318104.2
GAL3ST2,NM_022134.3
GAL3ST3,NM_033036.3
GAL3ST4,NM_024637.5
GALC,NM_000153.4
GALE,NM_001008216.2
GALK1,NM_000154.2
GALM,NM_138801.3
GALNS,NM_000512.5
GALNT10,NM_198321.4
GALNT11,NM_022087.4
GALNT12,NM_024642.5
GALNT14,NM_024572.4
GALNT15,NM_054110.5
GALNT16,NM_001168368.2
GALNT17,NM_022479.3
GALNT2,NM_004481.5
GALNT3,NM_004482.4
GALNT4,NM_003774.5
GALNT5,NM_014568.3
GALNT6,NM_007210.4
GALNT7,NM_017423.3
GALNT8,NM_017417.2
GALNT9,NM_001122636.2
GALNTL5,NM_145292.4
GALP,NM_033106.4
GALR2,NM_003857.4
GALR3,NM_003614.2
GALT,NM_000155.4
GAMT,NM_000156.6
GAN,NM_022041.4
GANAB,NM_198334.3
GANC,NM_198141.3
GAPDHS,NM_014364.5
GAPT,NM_001304431.2
GAPVD1,NM_001282680.3
GAR1,NM_018983.4
GARIN1A,NM_001128926.4
GARIN1B,NM_001282788.3
GARIN2,NM_001395907.1
GARIN3,NM_130899.3
GARIN4,NM_153606.4
GARIN5B,NM_001145402.2
GARIN6,NM_153364.4
GARNL3,NM_032293.5
GARS1,NM_002047.4
GART,NM_000819.5
GAS1,NM_002048.3
GAS2L1,NM_001362985.3
GAS2L2,NM_139285.4
GAS2L3,NM_174942.3
GAS6,NM_000820.4
GAS7,NM_201433.2
GAS8,NM_001481.3
GASK1A,NM_001129908.3
GASK1B,NM_001128424.2
GAST,NM_000805.5
GATA1,NM_002049.4
GATA2,NM_032638.5
GATA3,NM_001002295.2
GATA4,NM_001308093.3
GATA5,NM_080473.5
GATA6,NM_005257.6
GATAD1,NM_021167.5
GATAD2A,NM_001384528.1
GATAD2B,NM_020699.4
GATB,NM_004564.3
GATC,NM_176818.3
GATM,NM_001482.3
GBA1,NM_000157.4
GBA2,NM_020944.3
GBA3,NM_020973.5
GBE1,NM_000158.4
GBF1,NM_001377137.1
GBGT1,NM_021996.6
GBP1,NM_002053.3
GBP2,NM_004120.5
GBP3,NM_018284.3
GBP4,NM_052941.5
GBP5,NM_052942.5
GBP6,NM_198460.3
GBP7,NM_207398.3
GBX2,NM_001485.4
GC,NM_000583.4
GCC1,NM_024523.6
GCC2,NM_181453.4
GCDH,NM_000159.4
GCFC2,NM_003203.5
GCG,NM_002054.5
GCGR,NM_000160.5
GCH1,NM_000161.3
GCK,NM_000162.5
GCKR,NM_001486.4
GCM1,NM_003643.4
GCM2,NM_004752.4
GCN1,NM_006836.2
GCNA,NM_052957.5
GCNT1,NM_001490.5
GCNT2,NM_145649.5
GCNT3,NM_004751.3
GCNT4,NM_001366737.1
GCSAM,NM_152785.5
GCSH,NM_004483.5
GDA,NM_004293.5
GDAP1,NM_018972.4
GDAP2,NM_017686.4
GDF1,NM_001492.6
GDF10,NM_004962.5
GDF11,NM_005811.5
GDF15,NM_004864.4
GDF2,NM_016204.4
GDF3,NM_020634.3
GDF5,NM_000557.5
GDF6,NM_001001557.4
GDF7,NM_182828.4
GDF9,NM_005260.7
GDI1,NM_001493.3
GDI2,NM_001494.4
GDNF,NM_000514.4
GDPD2,NM_017711.4
GDPD3,NM_024307.3
GDPD4,NM_182833.3
GDPD5,NM_030792.8
GDPGP1,NM_001013657.3
GEM,NM_005261.4
GEMIN2,NM_003616.2
GEMIN4,NM_015721.3
GEMIN5,NM_015465.5
GEMIN7,NM_024707.3
GEMIN8,NM_001042479.2
GEN1,NM_001130009.3
GFAP,NM_002055.5
GFER,NM_005262.3
GFI1,NM_005263.5
GFI1B,NM_001377304.1
GFM1,NM_024996.7
GFM2,NM_032380.5
GFPT1,NM_001244710.2
GFPT2,NM_005110.4
GFRA1,NM_005264.8
GFRA2,NM_001495.5
GFRA3,NM_001496.4
GFRA4,NM_022139.4
GFRAL,NM_207410.2
GFUS,NM_003313.4
GGA1,NM_013365.5
GGA2,NM_015044.4
GGA3,NM_138619.4
GGCX,NM_000821.7
GGH,NM_003878.3
GGN,NM_152657.4
GGNBP2,NM_024835.5
GGPS1,NM_004837.4
GGT1,NM_001288833.2
GGT5,NM_004121.5
GGT6,NM_001288702.2
GGT7,NM_178026.3
GGTLC1,NM_178311.3
GGTLC2,NM_199127.3
GH1,NM_000515.5
GH2,NM_002059.5
GHDC,NM_032484.5
GHITM,NM_014394.3
GHR,NM_000163.5
GHRHR,NM_000823.4
GHRL,NM_016362.5
GHSR,NM_198407.2
GIGYF1,NM_001375765.1
GIGYF2,NM_001103146.3
GIMAP1,NM_130759.4
GIMAP2,NM_015660.3
GIMAP4,NM_018326.3
GIMAP5,NM_018384.5
GIMAP6,NM_024711.6
GIMAP7,NM_153236.4
GIMAP8,NM_175571.4
GIN1,NM_017676.2
GINM1,NM_138785.5
GINS1,NM_021067.5
GIPC1,NM_005716.4
GIPC3,NM_133261.3
GIT1,NM_014030.4
GIT2,NM_057169.5
GJA1,NM_000165.5
GJA10,NM_032602.2
GJA3,NM_021954.4
GJA4,NM_002060.3
GJA8,NM_005267.5
GJA9,NM_030772.5
GJB1,NM_000166.6
GJB2,NM_004004.6
GJB3,NM_024009.3
GJB4,NM_153212.3
GJB5,NM_005268.4
GJB6,NM_001110219.3
GJB7,NM_198568.3
GJC2,NM_020435.4
GJC3,NM_181538.3
GJD2,NM_020660.3
GJD4,NM_153368.3
GJE1,NM_001358410.2
GK,NM_001205019.2
GK2,NM_033214.3
GK5,NM_001039547.3
GKN1,NM_019617.4
GLA,NM_000169.3
GLB1,NM_000404.4
GLB1L,NM_001286423.2
GLB1L2,NM_001370461.1
GLB1L3,NM_001080407.3
GLCCI1,NM_138426.4
GLCE,NM_015554.3
GLDC,NM_000170.3
GLDN,NM_181789.4
GLE1,NM_001003722.2
GLI1,NM_005269.3
GLI2,NM_001374353.1
GLI3,NM_000168.6
GLI4,NM_138465.4
GLIPR1,NM_006851.3
GLIPR1L2,NM_001270396.2
GLIS1,NM_001367484.1
GLIS2,NM_032575.3
GLIS3,NM_001042413.2
GLMN,NM_053274.3
GLMP,NM_144580.3
GLOD4,NM_016080.4
GLOD5,NM_001080489.3
GLP1R,NM_002062.5
GLP2R,NM_004246.3
GLRA1,NM_000171.4
GLRA2,NM_002063.4
GLRB,NM_000824.5
GLRX2,NM_016066.4
GLRX5,NM_016417.3
GLS,NM_014905.5
GLS2,NM_013267.4
GLT1D1,NM_001366886.1
GLT6D1,NM_182974.3
GLT8D1,NM_018446.4
GLTPD2,NM_001014985.3
GLUD1,NM_005271.5
GLUD2,NM_012084.4
GLUL,NM_001033044.4
GLYAT,NM_201648.3
GLYATL1,NM_001389712.2
GLYATL2,NM_145016.4
GLYCTK,NM_145262.4
GM2A,NM_000405.5
GMCL1,NM_178439.5
GMEB2,NM_012384.5
GMIP,NM_016573.4
GML,NM_002066.3
GMNN,NM_015895.5
GMPPA,NM_013335.4
GMPPB,NM_021971.4
GMPR,NM_006877.4
GMPS,NM_003875.3
GNA11,NM_002067.5
GNA12,NM_007353.3
GNA14,NM_004297.4
GNA15,NM_002068.4
GNAI1,NM_002069.6
GNAI2,NM_002070.4
GNAI3,NM_006496.4
GNAL,NM_182978.4
GNAO1,NM_020988.3
GNAQ,NM_002072.5
GNAS,NM_000516.7
GNAT1,NM_144499.3
GNAT2,NM_001377295.2
GNB1,NM_002074.5
GNB1L,NM_053004.3
GNB2,NM_005273.4
GNB3,NM_002075.4
GNB4,NM_021629.4
GNB5,NM_016194.4
GNE,NM_005476.7
GNL2,NM_013285.3
GNL3,NM_014366.5
GNL3L,NM_001184819.2
GNLY,NM_006433.5
GNMT,NM_018960.6
GNPAT,NM_014236.4
GNPTAB,NM_024312.5
GNPTG,NM_032520.5
GNRH1,NM_001083111.2
GNRH2,NM_178331.2
GNRHR,NM_000406.3
GNS,NM_002076.4
GOLGA1,NM_002077.4
GOLGA2,NM_001366244.2
GOLGA3,NM_001389683.1
GOLGA4,NM_002078.5
GOLGA5,NM_005113.4
GOLGA6A,NM_001038640.2
GOLGA6B,NM_018652.5
GOLGA6C,NM_001164404.2
GOLGA6D,NM_001145224.3
GOLGA6L1,NM_001001413.3
GOLGA6L10,NM_001164465.3
GOLGA6L2,NM_001304388.2
GOLGA6L22,NM_001396956.1
GOLGA6L6,NM_001145004.2
GOLGA8A,NM_181077.5
GOLGA8B,NM_001023567.5
GOLGA8H,NM_001282490.2
GOLGA8J,NM_001282472.2
GOLGA8K,NM_001282493.2
GOLGA8M,NM_001282468.3
GOLGA8Q,NM_001355476.2
GOLGA8S,NM_001395373.1
GOLGA8T,NM_001355469.2
GOLGB1,NM_001366282.2
GOLIM4,NM_014498.5
GOLM1,NM_016548.4
GOLM2,NM_138423.4
GOLPH3L,NM_018178.6
GOLT1A,NM_198447.2
GON4L,NM_001282860.2
GON7,NM_032490.5
GOPC,NM_020399.4
GORAB,NM_152281.3
GORASP1,NM_031899.4
GORASP2,NM_015530.5
GOSR2,NM_004287.5
GOT1,NM_002079.3
GOT1L1,NM_152413.3
GOT2,NM_002080.4
GP1BA,NM_000173.7
GP1BB,NM_000407.5
GP2,NM_001502.4
GP5,NM_004488.2
GP6,NM_016363.5
GP9,NM_000174.5
GPA33,NM_005814.3
GPAA1,NM_003801.4
GPALPP1,NM_018559.5
GPAM,NM_001244949.2
GPANK1,NM_033177.4
GPAT2,NM_001321527.2
GPAT3,NM_032717.5
GPAT4,NM_178819.4
GPATCH1,NM_018025.3
GPATCH2,NM_018040.5
GPATCH3,NM_022078.3
GPATCH8,NM_001002909.4
GPBAR1,NM_170699.3
GPBP1L1,NM_021639.5
GPC1,NM_002081.3
GPC2,NM_152742.3
GPC3,NM_004484.4
GPC4,NM_001448.3
GPC5,NM_004466.6
GPC6,NM_005708.5
GPCPD1,NM_019593.5
GPD1,NM_005276.4
GPD1L,NM_015141.4
GPD2,NM_000408.5
GPER1,NM_001098201.3
GPHN,NM_020806.5
GPI,NM_000175.5
GPIHBP1,NM_178172.6
GPKOW,NM_015698.6
GPLD1,NM_001503.4
GPM6B,NM_001001995.3
GPN2,NM_018066.4
GPNMB,NM_002510.3
GPR101,NM_054021.2
GPR108,NM_001080452.2
GPR119,NM_178471.3
GPR132,NM_013345.4
GPR135,NM_022571.6
GPR139,NM_001002911.4
GPR142,NM_001331076.1
GPR143,NM_000273.3
GPR146,NM_001303473.2
GPR148,NM_207364.2
GPR149,NM_001038705.3
GPR15,NM_005290.4
GPR150,NM_199243.3
GPR151,NM_194251.3
GPR152,NM_206997.1
GPR153,NM_207370.4
GPR155,NM_152529.7
GPR156,NM_153002.3
GPR157,NM_024980.5
GPR158,NM_020752.3
GPR160,NM_014373.3
GPR161,NM_001375883.1
GPR162,NM_019858.2
GPR17,NM_001161417.2
GPR171,NM_013308.4
GPR174,NM_032553.3
GPR179,NM_001004334.4
GPR18,NM_001098200.2
GPR180,NM_180989.6
GPR183,NM_004951.5
GPR19,NM_006143.3
GPR20,NM_005293.3
GPR21,NM_005294.3
GPR31,NM_005299.3
GPR32,NM_001506.2
GPR33,NM_001197184.3
GPR35,NM_005301.5
GPR37,NM_005302.5
GPR37L1,NM_004767.5
GPR39,NM_001508.3
GPR42,NM_001348195.2
GPR45,NM_007227.3
GPR50,NM_004224.3
GPR52,NM_005684.5
GPR55,NM_005683.4
GPR65,NM_003608.4
GPR68,NM_001177676.2
GPR75,NM_006794.4
GPR78,NM_080819.5
