,Pair,Count_overall,Count_clm,Count_plm,Freq_overall,Freq_clm,Freq_plm,BR_clm,BR_plm,pvalue_clm_raw,pvalue_clm_corrected,significant_clm,pvalue_plm_raw,pvalue_plm_corrected,significant_plm
88,"('G', 'V')",1400,84,170,0.010192937750273025,0.009452008551817262,0.014736477115117892,0.927309553280072,1.4457536655438874,0.9436846499235436,1.0,False,9.738788295550785e-10,3.478138676982423e-09,True
89,"('P', 'L')",3824,241,189,0.027841281397888606,0.027118262630809048,0.016383495145631068,0.9740306936039809,0.5884605277856766,0.596378469819262,0.7272908168527586,False,5.262353013546753e-11,2.1333863568432782e-10,True
90,"('R', 'S')",671,50,57,0.0048853294503094285,0.005626195566557894,0.004941054091539529,1.1516512087432589,1.0114065267853267,0.15848092477607365,0.2701379399592164,False,0.5159339831954753,0.5862886172675856,False
91,"('G', 'W')",189,13,55,0.0013760465962868583,0.0014628108473050522,0.004767683772538141,1.063053279774333,3.4647691331117128,0.7575691409354464,0.8674455812237936,False,2.056699460085999e-27,1.7139162167383326e-26,True
92,"('D', 'N')",2126,83,91,0.015478704040771752,0.009339484640486104,0.007888349514563107,0.6033763948122137,0.5096259669921179,2.8560244377967407e-05,0.00013387614552172223,True,2.1028908541619003e-09,7.168946093733751e-09,True
93,"('S', 'Y')",298,16,34,0.0021696396068438296,0.001800382581298526,0.0029472954230235784,0.8298072065146058,1.3584262629271426,0.6956552635807828,0.8281610280723605,False,0.024038437553341913,0.03570064983169591,False
94,"('H', 'Q')",598,24,53,0.004353840553330907,0.002700573871947789,0.004594313453536754,0.6202739486823224,1.055232362614169,0.04217185646977822,0.09302615397745195,False,0.3460452258686447,0.4119586022245771,False
95,"('N', 'D')",703,27,54,0.0051183108846013835,0.0030381456059412624,0.004680998613037448,0.5935836400797047,0.9145592596026934,0.015957096936915327,0.03989274234228832,False,1.0,1.0,False
96,"('M', 'T')",1159,129,520,0.00843829632326174,0.014515584561719365,0.04507628294036061,1.720203226533352,5.3418701137692235,8.245639689227515e-13,1.0307049611534395e-11,True,0.0,0.0,True
97,"('W', 'C')",328,39,66,0.0023880597014925373,0.004388432541915157,0.00572122052704577,1.837656126926972,2.3957610957004163,1.7533973661920444e-05,8.766986830960222e-05,True,1.1920065918979856e-16,7.152039551387913e-16,True
98,"('G', 'S')",3029,132,141,0.02205314888969785,0.014853156295712839,0.01222260748959778,0.673516347710848,0.5542341164398333,7.040591747258554e-05,0.00028542939515913054,True,1.4406872100633114e-10,5.541104654089659e-10,True
99,"('S', 'P')",994,30,82,0.007236985802693848,0.003375717339934736,0.007108183079056866,0.46645349762579075,0.9822021588616303,6.740116458204839e-05,0.00028542939515913054,True,0.5972056704622448,0.6538748216739907,False
100,"('F', 'C')",220,20,30,0.0016017473607571897,0.0022504782266231575,0.0026005547850208046,1.4050144746667759,1.6235736351027614,0.08351531813410847,0.16060638102713165,False,0.001679542003037101,0.0029638976524184136,True
101,"('L', 'V')",1114,56,39,0.00811066618128868,0.0063013390345448405,0.0033807212205270456,0.7769200326703176,0.4168241109868848,0.15770079557607722,0.2701379399592164,False,1.3793583652575125e-07,3.448395913143781e-07,True
102,"('S', 'T')",617,9,6,0.004492173279941755,0.0010127152019804209,0.0005201109570041609,0.225439923812011,0.11578158824071555,2.26982219938792e-06,1.4186388746174499e-05,True,4.5741170532705917e-10,1.715293894976472e-09,True
103,"('G', 'R')",3578,201,367,0.026050236621769203,0.022617306177562732,0.03181345353675451,0.8682188383142094,1.2212347242239328,0.25024715983215107,0.38208299326382805,False,2.133419540052267e-08,5.714516625140001e-08,True
104,"('A', 'P')",757,37,82,0.005511467054969057,0.004163384719252841,0.007108183079056866,0.7554040834734185,1.2897079866690364,0.19405498871459173,0.3163940033390083,False,0.001880065067293909,0.0032378450138032407,True
