pair_id,Gene,DMS_dataset,CBGE_dataset,model_short,platform,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
VAV1|dataset2065|dataset2064,VAV1,dataset2065,dataset2064,150M,CBGE,1,0.965,3.295095283446702,2.4866368508882966,0.9541425796677169
VAV1|dataset2065|dataset2064,VAV1,dataset2065,dataset2064,150M,CBGE,2,0.975,3.0928140961829427,2.4819381397688702,0.9690373051497628
VAV1|dataset2065|dataset2064,VAV1,dataset2065,dataset2064,150M,CBGE,3,0.665,3.057521455563344,2.509114030833523,0.6196308379891765
VAV1|dataset2065|dataset2064,VAV1,dataset2065,dataset2064,150M,CBGE,4,0.09,3.0127114388549696,2.415865380320503,0.07348030755577212
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,150M,DMS,1,0.52,2.6920454541029364,2.8236870519189563,0.531902826917716
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,150M,DMS,2,0.545,2.7655780418868456,2.763136605695862,0.5447809837402754
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,150M,DMS,3,0.54,2.6069387429817903,2.389232132227088,0.5182763645886125
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,150M,DMS,4,0.545,2.5589837300131344,2.6753644999884094,0.5560049563883142
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,150M,DMS,5,0.545,2.562808859164187,2.493366728573559,0.5381801325291143
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,150M,DMS,6,0.545,2.604495932346207,2.684888909177205,0.5525276110581397
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,150M,CBGE,1,0.165,2.6920454541029364,2.8236870519189563,0.1716833024717431
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,150M,CBGE,2,0.165,2.7655780418868456,2.763136605695862,0.16487835531339395
ITK|dataset0812|dataset0810,ITK,dataset0812,dataset0810,150M,CBGE,3,0.08,2.6069387429817903,2.389232132227088,0.07381229229694694
